"scenario","US_phase_pol","US_price_pol","US_cp_pol","CN_phase_pol","CN_price_pol","CN_cp_pol","IN_phase_pol","IN_price_pol","IN_cp_pol","RGS_phase_pol","RGS_price_pol","RGS_cp_pol","RGN_phase_pol","RGN_price_pol","RGN_cp_pol","learning_solar","learning_wind","lifetime_solar","lifetime_wind","lead_offshore","lead_onshore","lead_solar","lead_commission","lead_ccgt","lead_coal","cf_wind","cf_solar","discr","elec_demand","ccgt_price","coal_price","tech_potential"
"S3_86",0.84,0.17,0.55,0.21,0.8,0.11,0.33,0.37,0.87,0.43,0.19,0.62,0.26,0.13,0.93,0.66860465116279,0.780487804878049,0.1279,0.7496,0.8825,0.149,0.942424242424242,0.044,0.217,0.874,0.329090909090909,0.212972972972973,0.791,0.848,0.204,0.579,0.757
"S3_87",0.56,0.44,0.77,0.52,0.64,0.45,0.9,0.66,0.39,0.37,0.56,0.21,0.65,0.1,0.95,0.563953488372093,0.609756097560975,0.6762,0.6945,0.896,0.854,0.323232323232323,0.413,0.806,0.402,0.484545454545455,0.666756756756757,0.738,0.017,0.973,0.487,0.858
"S3_88",0.92,0.55,0.22,0.28,0.33,0.18,0.47,0.33,0.67,0.25,0.3,0.18,0.42,0.86,0.8,0.0174418604651161,0.298780487804878,0.6012,0.2697,0.244,0.535,0.782828282828283,0.945,0.482,0.803,0.901818181818182,0.120810810810811,0.154,0.469,0.343,0.784,0.532
"S3_89",0.82,0.85,0.43,0.08,0.38,0.03,0.85,0.09,0.32,0.93,0.45,0.7,0.36,0.97,0.42,0.598837209302326,0.0426829268292683,0.0658000000000001,0.631,0.5075,0.176,0.997979797979798,0.7,0.38,0.274,0.470909090909091,0.0832432432432432,0.89,0.707,0.892,0.18,0.194
"S3_90",0.68,0.2,0.98,0.63,0.73,0.6,0.42,0.46,0.35,0.42,0.82,0.96,0.64,0.76,0.05,0.587209302325581,0.640243902439024,0.9524,0.0443000000000001,0.837,0.429,0.857575757575758,0.318,0.236,0.605,0.658181818181818,0.560540540540541,0.594,0.778,0.08,0.983,0.583
"S3_91",0.82,0.75,0.53,0.12,0.55,0.66,0.57,0.86,0.73,0.9,0.21,0.36,0.39,0.71,0.05,0.970930232558139,0.390243902439024,0.1298,0.3613,0.528,0.157,0.353535353535354,0.985,0.559,0.981,0.479090909090909,0.18027027027027,0.284,0.025,0.466,0.313,0.503
"S3_92",0.16,0.12,0.09,0.76,0.41,0.27,0.46,0.25,0.18,0.87,0.5,0.53,0.83,0.85,0.26,0.941860465116279,0.951219512195122,0.4676,0.0280999999999999,0.8525,0.844,0.458585858585859,0.691,0.696,0.2,0.384545454545455,0.446486486486486,0.969,0.514,0.563,0.261,0.853
"S3_93",0.34,0.59,0.43,0.89,0.27,0.97,0.02,0.47,0.17,0.68,0.36,0.57,0.34,0.27,0.43,0.0058139534883721,0.384146341463415,0.0568999999999999,0.4663,0.561,0.444,0.827272727272727,0.731,0.127,0.477,0.708181818181818,0.387837837837838,0.738,0.119,0.846,0.885,0.482
"S3_94",0.49,0.24,0.31,0.04,0.78,0.76,0.54,0.06,0.34,0.48,0.87,0.72,0.54,0.23,0.73,0.156976744186046,0.701219512195122,0.2876,0.8059,0.2895,0.52,0.747474747474748,0.842,0.205,0.947,0.261818181818182,0.93,0.274,0.076,0.673,0.455,0.696
"S3_95",0.72,0,0.38,0.37,0.61,0.75,0.5,0.2,0.6,0.92,0.99,0.16,0.48,0.58,0.43,0.604651162790698,0.932926829268293,0.9552,0.9742,0.962,0.635,0.478787878787879,0.006,0.845,0.918,0.816363636363636,0.156216216216216,0.469,0.634,0.961,0.421,0.497
"S3_96",0.81,0.67,0.1,0.95,0.94,0,0.76,0.01,0.98,0,0.32,0.22,0.81,0.69,0.55,0.122093023255814,0.48780487804878,0.7963,0.5974,0.937,0.766,0.854545454545455,0.534,0.668,0.206,0.91,0.0321621621621621,0.056,0.856,0.538,0.311,0.783
"S3_97",0.48,0.14,0.4,0.38,0.5,0.97,0.04,0.34,0.21,0.76,0.02,0.51,0.27,0.31,0.44,0.988372093023256,0.121951219512195,0.9288,0.0731000000000002,0.5975,0.78,0.866666666666667,0.276,0.987,0.526,0.399090909090909,0.0891891891891891,0.539,0.301,0.888,0.502,0.801
"S3_98",0.16,0.1,0.12,0.26,0.09,0.12,0.98,0.22,0.3,0.14,0.96,0.95,0.09,0.19,0.51,0.843023255813953,0.878048780487805,0.00489999999999995,0.4067,0.844,0.087,0.667676767676768,0.244,0.912,0.429,0.675454545454545,0.684054054054054,0.215,0.188,0.284,0.534,0.05
"S3_99",0.03,0.54,0.29,0.85,0.67,0.75,0.42,0.64,0.17,0.36,0.55,0.09,0.98,0.82,0.71,0.52906976744186,0.597560975609756,0.0065999999999999,0.8111,0.47,0.958,0.548484848484848,0.596,0.666,0.0289999999999999,0.122727272727273,0.0681081081081081,0.777,0.021,0.825,0.792,0.095
"S3_100",0.89,0.33,0.5,0.11,0.01,0.72,0.58,0.85,0.56,0.83,0.72,0.6,0.12,0.38,0.2,0.25,0.701219512195122,0.0745000000000001,0.0603000000000002,0.748,0.346,0.35050505050505,0.706,0.898,0.832,0.36,0.881081081081081,0.457,0.808,0.488,0.408,0.235
"S3_101",0.55,0.75,0.1,0.84,0.2,0.65,0.07,0.97,0.76,0.33,0.39,0.65,0.37,0.57,0.49,0.86046511627907,0.530487804878049,0.5924,0.2569,0.0665,0.409,0.762626262626263,0.872,0.627,0.182,0.0972727272727272,0.595405405405405,0.609,0.394,0.237,0.287,0.263
"S3_102",0.67,0.03,0.2,0.31,0.43,0.52,0.13,0.86,0.08,0.55,0.16,0.87,0.56,0.37,0.48,0.25,0.0914634146341464,0.9916,0.471,0.7865,0.489,0.00606060606060607,0.484,0.655,0.398,0.86,0.731081081081081,0.516,0.639,0.801,0.51,0.156
"S3_103",0.15,0.54,0.33,0.87,0.61,0.35,0.78,0.08,0.99,0.36,0.34,0.17,0.92,0.59,0.29,0.0872093023255813,0.26219512195122,0.0196999999999999,0.3979,0.656,0.388,0.383838383838384,0.979,0.945,0.464,0.679090909090909,0.698108108108108,0.432,0.834,0.351,0.04,0.393
"S3_104",0.94,0.6,0.29,0.1,0.26,0.71,0.68,0.92,0.76,0.96,0.41,0.94,0.56,0.44,0.38,0.761627906976744,0.152439024390244,0.5626,0.3074,0.069,0.52,0.0212121212121212,0.231,0.17,0.939,0.109090909090909,0.314054054054054,0.299,0.25,0.411,0.769,0.662
"S3_105",0.95,0.05,0.08,0.01,0.7,0.81,0.03,0.19,0.14,0.45,0.62,0.97,0.6,0.28,0.79,0.947674418604651,0.981707317073171,0.4152,0.1537,0.919,0.573,0.511111111111111,0.762,0.922,0.546,0.669090909090909,0.777027027027027,0.445,0.014,0.039,0.011,0.391
"S3_106",0.13,0.41,0.12,0.45,0.58,0.7,0.28,0.24,0.24,0.79,0.17,0.81,0.69,0.5,0.14,0.395348837209302,0.780487804878049,0.2973,0.5992,0.309,0.953,0.0575757575757575,0.271,0.994,0.2,0.924545454545455,0.551891891891892,0.041,0.749,0.59,0.1,0.035
"S3_107",0.21,0.09,0.57,0.76,0.83,0.21,0.82,0.14,0.9,0.46,0.64,0.89,0.68,0.84,0.12,0.191860465116279,0.274390243902439,0.8702,0.5596,0.975,0.325,0.104040404040404,0.815,0.212,0.224,0.900909090909091,0.580810810810811,0.744,0.27,0.6,0.29,0.791
"S3_108",0.37,0.42,0.48,0.59,0.5,0.08,0.67,0.62,0.05,0.87,0.23,0.13,0.84,0.5,0.61,0.325581395348837,0.0975609756097562,0.0204999999999998,0.1243,0.169,0.952,0.807070707070707,0.181,0.428,0.71,0.130909090909091,0.804594594594595,0.599,0.206,0.383,0.48,0.75
"S3_109",0.41,0.53,0.86,0.89,0.17,0.22,0.24,0.12,0.52,0.19,0.85,0.63,0.55,0.32,0.98,0.308139534883721,0.804878048780488,0.3777,0.4145,0.4135,0.483,0.917171717171717,0.03,0.364,0.266,0.0318181818181819,0.266216216216216,0.213,0.576,0.64,0.512,0.612
"S3_110",0.22,0.05,0.55,0.58,0.04,0.16,0.09,0.71,0.7,0.22,0.46,0.84,0.58,0.79,0.15,0.151162790697674,0.786585365853658,0.0844999999999999,0.2991,0.7,0.812,0.954545454545455,0.846,0.0900000000000001,0.881,0.346363636363636,0.0854054054054054,0.579,0.697,0.521,0.045,0.668
"S3_111",0.64,0.07,0.47,0.13,0.51,0.62,0.25,0.41,0.24,0.49,0.55,0.21,0.96,0.62,0.78,0.279069767441861,0.719512195121951,0.8834,0.1664,0.1955,0.695,0.7,0.019,0.186,0.341,0.00636363636363647,0.587837837837838,0.402,0.183,0.432,0.15,0.772
"S3_112",0.42,0.92,0.6,0.69,0.05,0.83,0.61,0.93,0.8,0.38,0.81,0.33,0.18,0.96,0.84,0.343023255813953,0.859756097560975,0.0469000000000001,0.6615,0.546,0.542,0.268686868686869,0.766,0.941,0.985,0.634545454545455,0.432432432432432,0.282,0.886,0.312,0.089,0.463
"S3_113",0.82,0.46,0.33,0.73,0.18,0.37,0.05,0.22,0.22,0.34,1,0.42,0.99,0.36,0.12,0.959302325581395,0.896341463414634,0.3149,0.7686,0.6085,0.846,0.931313131313131,0.05,0.351,0.459,0.571818181818182,0.603513513513513,0.302,0.664,0.534,0.787,0.172
"S3_114",0.75,0.83,0.43,0.07,0.17,0.5,0.16,0.72,0.86,0.93,0.19,0.51,0.88,0.47,0.79,0.186046511627907,0.853658536585366,0.5686,0.9496,0.713,0.299,0.0191919191919192,0.421,0.681,0.467,0.932727272727273,0.485945945945946,0.857,0.175,0.347,0.435,0.115
"S3_115",0.9,0.26,0.54,0.31,0.32,0.75,0.71,0.46,0.53,0.25,0.92,0.84,0.65,0.71,0.91,0.767441860465116,0.23780487804878,0.1172,0.2973,0.549,0.784,0.417171717171717,0.593,0.557,0.52,0.152727272727273,0.817567567567568,0.23,0.341,0.057,0.757,0.733
"S3_116",0.91,0.87,0.11,0.36,0.97,0.58,0.82,0.53,0.84,0.44,0.01,0.1,0.6,0.73,0.73,0.831395348837209,0.347560975609756,0.0974,0.7144,0.6965,0.723,0.387878787878788,0.357,0.809,0.506,0.750909090909091,0.282162162162162,0.257,0.19,0.314,0.422,0.711
"S3_117",0.79,0.5,0.39,0.61,0.29,0.76,0.03,0.65,0.13,0.02,0.72,0.59,0.76,0.25,0.42,0.5,0.390243902439024,0.8972,0.9459,0.0654999999999999,0.529,0.932323232323232,0.417,0.512,0.901,0.319090909090909,0.445675675675676,0.234,0.082,0.604,0.702,0.888
"S3_118",0.01,0.48,0.46,0.19,0.21,0.33,0.2,0.47,0.25,0.24,0.36,0.2,0.98,0.01,0.33,0.395348837209302,0.628048780487805,0.5859,0.9081,0.922,0.541,0.858585858585859,0.947,0.747,0.484,0.0109090909090909,0.370810810810811,0.68,0.261,0.513,0.252,0.032
"S3_119",0.28,0.8,0.89,0.87,0.98,0.74,0.04,0.43,0.14,0.43,0.79,0.24,0.76,0.19,0.78,0.511627906976744,0.225609756097561,0.8349,0.0338000000000001,0.3105,0.319,0.852525252525253,0.567,0.202,0.343,0.704545454545454,0.0975675675675675,0.365,0.724,0.591,0.394,0.021
"S3_120",0.14,0.61,0.18,0.66,0.29,0.5,0.21,0.98,0.03,0.52,0.08,0.34,0.74,0.45,0.86,0.11046511627907,0.969512195121951,0.4718,0.0859999999999999,0.1495,0.829,0.413131313131313,0.111,0.95,0.883,0.229090909090909,0.624054054054054,0.762,0.898,0.994,0.689,0.551
"S3_121",0.95,0.03,0.3,0.3,0.5,0.3,0.87,0.99,0.62,0.66,0.1,0.06,0.31,0.25,0.57,0.238372093023256,0.298780487804878,0.2445,0.0643999999999998,0.7415,0.777,0.0787878787878787,0.803,0.355,0.697,0.392727272727273,0.900540540540541,0.092,0.196,0.326,0.427,0.242
"S3_122",0.27,0.66,0.22,0.84,0.89,0.82,0.66,0.73,0.94,0.13,0.3,0.63,0.88,0.49,0.04,0.0465116279069766,0.975609756097561,0.6057,0.2857,0.0509999999999999,0.181,0.0494949494949495,0.251,0.636,0.936,0.00272727272727283,0.884324324324324,0.632,0.176,0.481,0.184,0.218
"S3_123",0.6,0.83,0.08,0.2,0.38,0.19,0.14,0.55,0.25,0.41,0.81,0.21,0.73,0.48,0.75,0.302325581395349,0.731707317073171,0.258,0.8537,0.0165,0.293,0.522222222222222,0.952,0.226,0.217,0.790909090909091,0.591081081081081,0.461,0.186,0.866,0.821,0.627
"S3_124",0.17,0.32,0.51,0.59,0.21,0.13,0.73,0.15,0.1,0.72,0.14,0.66,0.4,0.26,0.46,0.406976744186046,0.451219512195122,0.9008,0.1005,0.2015,0.495,0.484848484848485,0.443,0.97,0.632,0.244545454545455,0.562432432432432,0.779,0.665,0.201,0.919,0.224
"S3_125",0.08,0.81,0.72,0.22,0.45,0.12,0.19,0.29,0.82,0.22,0.13,0.71,0.75,0.77,0.22,0.697674418604651,0.579268292682927,0.7321,0.8472,0.534,0.259,0.977777777777778,0.009,0.935,0.774,0.813636363636364,0.720540540540541,0.555,0.801,0.688,0.936,0.112
"S3_126",0.38,1,0.48,0.68,0.5,0.43,0.2,0.74,0.9,0.96,0.96,0.41,0.45,0.3,0.66,0.895348837209302,0.426829268292683,0.8398,0.5099,0.4075,0.631,0.36969696969697,0.334,0.46,0.352,0.945454545454545,0.017027027027027,0.162,0.718,0.645,0.646,0.269
"S3_127",0.46,0.97,0.62,0.81,0.1,0.03,0.44,0.74,0.13,0.99,0.78,0.79,0.67,0.87,0.24,0.75,0.908536585365854,0.4298,0.904,0.717,0.887,0.262626262626263,0.724,0.0589999999999999,0.684,0.492727272727273,0.615405405405405,0.029,0.485,0.095,0.814,0.631
"S3_128",0.85,0.53,0.64,0.15,0.05,0.83,0.79,0.44,0.01,0.53,0.88,0.31,0.38,0.74,0.51,0.941860465116279,0.890243902439024,0.8235,0.9002,0.004,0.244,0.238383838383838,0.784,0.103,0.913,0.697272727272727,0.907567567567568,0.869,0.23,0.996,0.509,0.57
"S3_129",0.45,0.77,0.34,0.79,0.36,0.47,0.7,0.56,0.68,0.64,0.57,0.37,0.5,0.65,0.9,0.686046511627907,0.109756097560976,0.9744,0.1056,0.2085,0.71,0.714141414141414,0.971,0.378,0.892,0.429090909090909,0.192432432432432,0.82,0.253,0.506,0.774,0.771
"S3_130",0.65,0.45,0.92,0.46,0.74,0.7,0.12,0.1,0.71,0.79,0.34,0.41,0.02,0.7,0.64,0.593023255813953,0.0792682926829269,0.9922,0.6674,0.8185,0.667,0.692929292929293,0.461,0.414,0.391,0.596363636363636,0.305945945945946,0.815,0.096,0.149,0.614,0.676
"S3_131",0.53,0.94,0.69,0.39,0.64,0.66,0.81,0.83,0.52,0.82,0.45,0.08,0.92,0.35,0.79,0.162790697674419,0.597560975609756,0.3508,0.1307,0.9875,0.394,0.562626262626263,0.178,0.687,0.234,0.881818181818182,0.308918918918919,0.157,0.543,0.524,0.439,0.849
"S3_132",0.64,0.39,0.34,0.25,0.03,0.78,0.77,0.23,0.56,0.21,0.54,0.82,0.57,0.12,0.45,0.0581395348837208,0.567073170731707,0.4066,0.0506,0.947,0.301,0.645454545454546,0.824,0.081,0.507,0.21,0.856486486486486,0.052,0.713,0.918,0.051,0.301
"S3_133",0.97,0.46,0.79,0.17,0.01,0.87,0.07,0.83,0.11,0.4,0.78,0.03,0.17,0.01,0.97,0.308139534883721,0,0.8202,0.5614,0.8865,0.719,0.393939393939394,0.335,0.607,0.406,0.314545454545455,0.98,0.693,0.005,0.101,0.952,0.764
"S3_134",0.2,0.26,0.81,0.39,0.6,0.95,0.01,0.56,0.1,0.27,0.29,0.53,0.52,0.78,0.21,0.0988372093023255,0.615853658536585,0.8921,0.1862,0.9135,0.596,0.533333333333333,0.992,0.824,0.547,0.357272727272727,0.437837837837838,0.503,0.786,0.461,0.367,0.469
"S3_135",0.37,0.44,0.31,0.62,0.16,0.11,0.89,0.98,0.08,0.85,0.58,0.55,0.85,0.09,0.15,0.63953488372093,0.48780487804878,0.8859,0.1403,0.27,0.728,0.831313131313131,0.031,0.792,0.865,0.557272727272727,0.403513513513513,0.611,0.088,0.68,0.25,0.933
"S3_136",0.25,0.35,0.73,0.3,0.62,0.72,0.1,1,0.61,0.74,0.13,0.2,0.04,0.48,0.23,0.802325581395349,0.74390243902439,0.7959,0.0542999999999999,0.929,0.119,0.923232323232323,0.901,0.395,0.45,0.317272727272727,0.749459459459459,0.963,0.69,0.266,0.202,0.124
"S3_137",0.79,0.47,0.81,0.98,0.28,0.92,0.85,0.29,0.47,0.47,0.36,0.91,0.73,0.94,0.29,0.918604651162791,0.0914634146341464,0.4529,0.487,0.6275,0.223,0.875757575757576,0.944,0.902,0.763,0.676363636363636,0.448918918918919,0.127,0.468,0.657,0.892,0.121
"S3_138",0.89,0.57,0.52,0.7,0.42,0.65,0.06,0.87,0.19,0.58,0.13,0.64,0.93,0.69,0.17,0.151162790697674,0.408536585365854,0.5889,0.1193,0.9835,0.909,0.396969696969697,0.447,0.569,0.0249999999999999,0.930909090909091,0.234324324324324,0.687,0.755,0.984,0.707,0.64
"S3_139",0.88,0.57,0.97,0.64,0.15,0.51,0.5,0.03,0.21,0.55,0.43,0.51,0.72,0.52,0.39,0.901162790697674,0.603658536585366,0.8009,0.5436,0.686,0.237,0.115151515151515,0.932,0.925,0.476,0.52,0.654864864864865,0.314,0.747,0.819,0.749,0.259
"S3_140",0.01,0.35,0.47,0.56,0.33,0.77,0.49,0.61,0.11,0.85,0.9,0.59,0.06,0.94,0.88,0.168604651162791,0.26219512195122,0.7913,0.8245,0.426,0.676,0.495959595959596,0.097,0.749,0.0110000000000001,0.812727272727273,0.714324324324324,0.844,0.399,0.091,0.853,0.591
"S3_141",0.83,0.97,0.54,0.16,0.55,0.34,0.93,0.33,0.92,0.09,0.59,0.86,0.54,0.8,0.65,0.0988372093023255,0.524390243902439,0.5217,0.4301,0.428,0.335,0.970707070707071,0.162,0.734,0.943,0.602727272727273,0.501081081081081,0.948,0.395,0.042,0.849,0.694
"S3_142",0.92,0.97,0.13,0.14,0.05,0.57,0.19,0.45,0.7,0.87,0.31,0.34,1,0.69,0.71,0.180232558139535,0.676829268292683,0.0370999999999999,0.8202,0.239,0.211,0.475757575757576,0.172,0.755,0.968,0.0854545454545455,0.291891891891892,0.462,0.623,0.981,0.913,0.017
"S3_143",0.6,0.37,0.22,0.92,0.63,0.59,0.18,0.97,0.03,0.99,0.82,0.67,0.32,0.44,0.07,0.895348837209302,0.103658536585366,0.2117,0.5338,0.861,0.377,0.62020202020202,0.738,0.674,0.515,0.701818181818182,0.104864864864865,0.97,0.245,0.07,0.964,0.826
"S3_144",0.37,0.81,0.36,0.41,0.59,0.55,0.86,0.13,0.05,0.06,0.47,0.39,0.43,0.42,0.02,0.0813953488372092,0.0792682926829269,0.1587,0.1987,0.476,0.69,0.0969696969696969,0.361,0.339,0.863,0.0300000000000001,0.185135135135135,0.645,0.563,0.821,0.153,0.144
"S3_145",0.95,0.24,0.49,0.38,0.92,0.28,0.52,0.83,0.47,0.54,0.33,0.31,0.17,0.98,0.8,0.848837209302325,0.658536585365854,0.1962,0.5687,0.3665,0.737,0.871717171717172,0.215,0.309,0.22,0.755454545454545,0.681621621621622,0.237,0.822,0.616,0.465,0.163
"S3_146",0.24,0.27,0.42,0.04,0.59,0.03,0.65,0.72,0.38,0.21,0.81,0.24,0.93,0.4,0.33,0.732558139534883,0.469512195121951,0.6659,0.2349,0.129,0.604,0.967676767676768,0.494,0.327,0.951,0.162727272727273,0.918108108108108,0.311,0.503,0.624,0.528,0.184
"S3_147",0.51,0.64,0.69,0.52,0.48,0.14,0.67,0.93,0.3,0.42,0.9,0.9,0.11,0.79,0.68,0.453488372093023,0.939024390243902,0.1094,0.0244,0.403,0.804,0.460606060606061,0.811,0.906,0.307,0.986363636363636,0.567297297297297,0.548,0.825,0.732,0.708,0.003
"S3_148",0.57,0.93,0.81,0.11,0.87,0.96,0.34,0.61,0.46,0.9,0.31,0.65,0.7,0.81,0.64,0.069767441860465,0.707317073170732,0.1477,0.6523,0.342,0.085,0.814141414141414,0.935,0.968,0.55,0.0672727272727273,0.265405405405405,0.748,0.268,0.693,0.148,0.553
"S3_149",0.02,0.57,0.86,0.01,0.57,0.43,0.88,0.01,0.45,0.68,0.11,0.23,0.56,0.61,0.43,0.988372093023256,0.0365853658536586,0.8277,0.8603,0.797,0.83,0.152525252525253,0.895,0.442,0.0819999999999999,0.303636363636364,0.762702702702703,0.812,0.2,0.949,0.337,0.912
"S3_150",0.44,0.41,1,0.08,0.63,0.01,0.25,0.09,0.94,0.28,0.75,0.54,0.58,0.95,0.59,0.831395348837209,0.0853658536585367,0.6368,0.7541,0.1845,0.966,0.570707070707071,0.756,0.453,0.33,0.36,0.196216216216216,0.76,0.962,0.035,0.078,0
"S3_151",0.32,0.53,0.68,0.72,0.93,0.16,0.21,0.03,0.38,0.38,0.94,0.8,0.53,0.07,0.49,0.133720930232558,0.591463414634146,0.7348,0.9348,0.338,0.459,0.123232323232323,0.123,0.282,0.337,0.725454545454545,0.887027027027027,0.507,0.989,0.047,0.729,0.501
"S3_152",0.11,0.88,0.77,0.97,0.86,0.16,0.48,0.42,0.77,0.91,0.26,0.85,0.13,0.4,0.67,0.866279069767442,0.73780487804878,0.6257,0.9778,0.4165,0.937,0.581818181818182,0.092,0.973,0.588,0.0172727272727274,0.374324324324324,0.904,0.472,0.209,0.432,0.082
"S3_153",0.8,0.72,0.83,0.92,0.19,0.28,0.59,0.43,0.39,0.56,0.1,0.96,0.34,0.04,0.35,0.459302325581395,0.420731707317073,0.7145,0.2775,0.906,0.487,0.927272727272727,0.465,0.164,0.925,0.117272727272727,0.904054054054054,0.331,0.947,0.586,0.263,0.659
"S3_154",0.99,0.01,0.98,0.78,0.2,0.89,0.83,0.03,0.14,0.53,0.48,0.41,0.7,0.61,0.47,0.273255813953488,0.908536585365854,0.8598,0.5913,0.1535,0.682,0.0636363636363636,0.138,0.774,0.388,0.576363636363636,0.0770270270270271,0.346,0.535,0.104,0.807,0.336
"S3_155",0.74,0.61,0.73,0.82,0.25,0.54,0.49,0.9,0.59,0.71,0.78,0.24,0.49,0.62,0.73,0.773255813953488,0.548780487804878,0.4169,0.1905,0.7145,0.442,0.811111111111111,0.165,0.581,0.807,0.345454545454545,0.325135135135135,0.934,0.338,0.429,0.102,0.353
"S3_156",0.3,0.32,0.11,0.47,0.18,0.87,0.83,0.65,0.53,0.93,0.84,0.55,0.01,0.88,0.9,0.0232558139534882,0.847560975609756,0.4902,0.3878,0.688,0.398,0.375757575757576,0.932,0.388,0.479,0.427272727272727,0.640810810810811,0.958,0.29,0.043,0.86,0.756
"S3_157",0.39,0.54,0.96,0.17,0.4,1,0.74,0.44,0.79,0.35,0.42,0.99,0.36,0.33,0.81,0.773255813953488,0.396341463414634,0.0829999999999998,0.5721,0.865,0.5,0.14949494949495,0.589,0.604,0.971,0.596363636363636,0.297297297297297,0.621,0.702,0.986,0.699,0.211
"S3_158",0.41,0.03,0.91,0.99,0.6,0.04,0.2,0.9,0.65,0.16,0.95,0.85,0.94,0.96,0.34,0.912790697674419,0.0365853658536586,0.3266,0.9598,0.4525,0.207,0.850505050505051,0.856,0.233,0.346,0.646363636363636,0.248108108108108,0.4,0.675,0.387,0.627,0.309
"S3_159",0.87,0.62,0.53,0.65,0.68,0.4,0.43,0.28,0.53,0.39,0.73,0.62,0.69,0.65,0.45,0.313953488372093,0.670731707317073,0.7278,0.8517,0.145,0.512,0.6,0.122,0.141,0.00199999999999978,0.771818181818182,0.472162162162162,0.37,0.048,0.318,0.36,0.951
"S3_160",0.13,0.54,0.37,0.83,0.09,0.1,0.68,0.05,0.13,0.79,0.26,0.87,0.61,0.06,0.66,0.209302325581395,0.652439024390244,0.8362,0.0759,0.893,0.675,0.676767676767677,0.456,0.334,0.372,0.330909090909091,0.313513513513513,0.71,0.976,0.615,0.222,0.397
"S3_161",0.35,0.46,0.81,0.68,0.16,0.19,0.9,0.49,0.15,0.22,0.59,0.81,0.37,0.72,0.64,0.66860465116279,0.554878048780488,0.4744,0.213,0.7025,0.748,0.338383838383838,0.8,0.614,0.237,0.700909090909091,0.0518918918918919,0.694,0.365,0.716,0.572,0.159
"S3_162",0.28,0.22,0.25,0.04,0.07,0.9,0.3,0.79,0.02,0.82,0.78,0.1,0.22,0.24,0.21,0.104651162790698,0.176829268292683,0.793,0.8865,0.302,0.196,0.624242424242424,0.013,0.0289999999999999,0.093,0.453636363636364,0.268648648648649,0.927,0.107,0.185,0.22,0.949
"S3_163",0.21,0.87,0.05,0.9,0.11,0.6,0.15,0.25,0.88,0.92,0.66,0.46,0.48,0.65,0.11,0.116279069767442,0.49390243902439,0.5317,0.202,0.0465,0.215,0.384848484848485,0.982,0.448,0.354,0.921818181818182,0.942432432432433,0.399,0.099,0.608,0.554,0.485
"S3_164",0.98,0.77,0.21,0.37,0.07,0.91,0.66,0.81,0.8,0.4,0.6,0.4,0.46,0.48,0.63,0.540697674418605,0.195121951219512,0.9723,0.3418,0.7335,0.882,0.757575757575758,0.22,0.311,0.262,0.692727272727273,0.194594594594595,0.496,0.148,0.338,0.167,0.132
"S3_165",0.39,0.45,0.08,0.75,0.42,0.45,0.21,0.02,0.49,0.1,0.19,0.58,0.86,0.73,0.1,0.209302325581395,0.353658536585366,0.2194,0.288,0.518,0.288,0.0161616161616162,0.762,0.054,0.539,0.0563636363636364,0.638918918918919,0.549,0.427,0.656,0.476,0.657
"S3_166",0.9,0.32,0.91,0.66,0.71,0.19,0.64,0.88,0.41,0.04,0.97,0.22,0.31,0.23,0.78,0.22093023255814,0.73780487804878,0.5792,0.018,0.79,0.517,0.00404040404040404,0.389,0.878,0.073,0.970909090909091,0.999459459459459,0.993,0.762,0.577,0.601,0.52
"S3_167",0.21,0.69,0.75,0.08,0.87,0.85,0.16,0.74,0.85,0.59,0.51,0.57,0.38,0,0.81,0.470930232558139,0.0731707317073171,0.3558,0.3399,0.4995,0.568,0.322222222222222,0.906,0.944,0.578,0.960909090909091,0.191621621621622,0.787,0.45,0.781,0.537,0.466
"S3_168",0.06,0.25,0.29,0.44,0.67,0.16,0.12,0.11,0.65,0.95,0.82,0.75,0.83,0.1,0.48,0.598837209302326,0.341463414634146,0.2392,0.9252,0.259,0.338,0.277777777777778,0.342,0.465,0.818,0.664545454545455,0.408378378378378,0.075,0.464,0.831,0.563,0.84
"S3_169",0.18,0.48,0.48,0.48,0,0.61,0.49,0.8,0.89,0.26,0.4,0.01,0.57,0.04,0.98,0.941860465116279,0.0853658536585367,0.9094,0.9836,0.437,0.97,0.0333333333333334,0.799,0.694,0.705,0.926363636363636,0.0559459459459459,0.957,0.488,0.84,0.259,0.266
"S3_170",0.71,0.76,0.34,0.1,0.47,0.3,0.64,0.37,0.05,0.76,0.86,0.43,0.1,0.92,0.32,0.505813953488372,0.73780487804878,0.6207,0.8811,0.183,0.0289999999999999,0.356565656565657,0.106,0.463,0.976,0.617272727272727,0.461621621621622,0.616,0.259,0.965,0.605,0.776
"S3_171",0.98,0.54,0.85,0.46,0.07,0.07,0.82,0.23,0.91,0.69,0.43,0.99,0.82,0.68,0.89,0.296511627906976,0.23780487804878,0.6103,0.7398,0.9985,0.932,0.177777777777778,0.651,0.056,0.966,0.443636363636364,0.922972972972973,0.799,0.376,0.906,0.541,0.251
"S3_172",1,0.41,0.7,0.14,0.45,0.28,0.19,0.44,0.72,0.14,0.67,0.9,0.18,0.44,0.15,0.877906976744186,0.158536585365854,0.4932,0.126,0.918,0.266,0.990909090909091,0.42,0.787,0.245,0.299090909090909,0.778918918918919,0.435,0.256,0.25,0.938,0.593
