scenario,EA_phase_pol,EA_price_pol,EA_cp_pol,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_offshore,lead_onshore,lead_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S3_116,0.25,0.87,0.07,0.36,0.96,0.2,0.74,0.12,0.73,0.19,0.12,0.42,0.16,0.26,0.37,0.45,0.14,0.26,-0.289,-0.243,31,26,6,2,3,0.878,0.232,0.32,0.888,0.802
S3_117,0.05,0.95,0.45,0.68,0.1,0.11,0.48,0.29,0.93,0.86,0.38,0.6,0.86,0.9,0.33,0.01,0.48,0.88,-0.298,-0.128,33,31,7,2,3,0.106,0.52,0.227,0.426,0.69
S3_118,0.82,0.7,0.47,0.04,0.88,0.53,0.7,0.42,0.22,0.09,0.77,0.86,0.55,0.33,0.61,0.75,0.61,0.12,-0.291,-0.138,33,31,7,3,4,0.81,0.299,0.498,0.411,0.722
S3_119,0.22,0.6,0.48,0.47,0.4,0.31,0.5,0.63,0.56,0.67,0.61,0.67,0.12,0.93,0.18,0.21,0.41,0.55,-0.299,-0.229,26,27,6,2,2,0.08,0.524,0.642,0.454,0.788
S3_120,0.56,0.24,0.27,0.57,0.12,0.61,0.67,0.32,0.79,0.57,0.82,0.13,0.1,0.79,0.65,0.33,0.02,0.95,-0.35,-0.271,30,27,5,3,4,0.904,0.178,0.051,0.963,0.087
S3_121,0.03,0.26,0.2,0.93,0.66,0.47,0.87,0.01,0.1,0.95,0.05,0.45,0.81,0.88,0.58,0.78,0.34,0.38,-0.306,-0.219,35,25,7,2,2,0.977,0.672,0.014,0.953,0.562
S3_122,0.14,0.76,0.76,0.3,0.81,0.43,0.85,0.77,0.37,0.82,0.2,0.93,0.16,0.6,0.17,0.05,0.06,0.49,-0.259,-0.249,30,28,6,2,2,0.54,0.612,0.625,0.788,0.686
S3_123,0.91,0.86,0.93,0.87,0.13,0.08,0.26,0.21,0.01,0.99,0.79,0.88,0.44,0.76,0.69,0.68,0.98,0.8,-0.329,-0.198,28,31,7,4,3,0.608,0.066,0.897,0.838,0.556
S3_124,0.38,0.76,0.54,0.9,0.66,0.37,0.73,0.7,0.89,0.89,0.13,0.76,0.99,0.74,0.97,0.12,0.25,0.47,-0.372,-0.205,34,29,2,3,3,0.713,0.319,0.893,0.359,0.251
S3_125,0.54,0.41,0.96,0.43,0.95,0.87,0.67,0.84,0.76,0.43,0.79,0.95,0.3,0.49,0.15,0.96,0.33,0.31,-0.236,-0.172,27,26,3,2,3,0.907,0.743,0.741,0.171,0.435
S3_126,0.73,0.44,0.02,0.25,0.28,0.14,0.72,0.23,0.97,0.87,0.75,0.48,0.27,0.2,0.95,0.85,0.94,0.7,-0.343,-0.184,34,30,7,4,2,0.141,0.799,0.302,0.65,0.469
S3_127,0.67,0.49,0.23,0.5,0.79,0.64,0.27,0.22,0.04,0.08,0.08,0.16,0.09,0.68,0.53,0.74,0.08,0.34,-0.348,-0.189,28,32,5,2,4,0.851,0.74,0.473,0.938,0.679
S3_128,0.27,0.79,0.14,0.26,0.85,0.31,0.13,0.18,0.18,0.24,0.22,0.96,0.6,0.19,0.4,0.82,0.83,0.32,-0.311,-0.174,32,35,2,3,3,0.504,0.709,0.874,0.293,0.374
S3_129,0.51,0.67,0.51,0.57,0.59,0.48,0.89,0.55,0.15,0.88,0.94,0.96,0.33,0.04,0.1,0.64,0.71,0.81,-0.299,-0.226,25,29,6,4,3,0.617,0.507,0.777,0.933,0.028
S3_130,0.85,0.83,0.73,0.95,0.42,0.57,0.55,0.02,0.19,0.84,0.84,0.38,0.58,0.32,0.34,0.64,0.52,0.8,-0.3,-0.124,26,28,5,4,2,0.347,0.591,0.567,0.698,0.997
S3_131,0.2,0.77,0.15,0.92,0.45,0.58,0.19,0.76,0.99,0.63,0.96,0.77,0.18,0.48,0.74,0.46,0.06,0.73,-0.249,-0.201,31,31,4,2,3,0.181,0.26,0.697,0.304,0.939
S3_132,0.36,0.14,0.98,0.19,0.77,0.91,0.59,0.48,0.11,0.98,0.06,0.55,0.64,0.54,0.07,0.29,0.41,0.42,-0.395,-0.244,32,31,4,3,3,0.849,0.388,0.087,0.251,0.756
S3_133,0.09,0.32,0.23,0.52,0.73,0.13,0.12,0.52,0.7,0.48,0.26,0.09,0.41,0.67,0.33,0.96,0.31,0.49,-0.269,-0.163,35,33,2,1,3,0.257,0.555,0.865,0.649,0.214
S3_134,0.13,0.3,0.08,0.63,0.65,0.29,0.03,0.95,0.42,0.81,0.55,0.37,0.24,0.02,0.43,0.11,0.14,0.16,-0.331,-0.181,26,30,6,2,4,0.094,0.985,0.164,0.968,0.822
S3_135,0.15,0.98,0.16,0.28,0.09,0.04,0.56,0.45,0.13,0.02,0.75,0.65,0.14,0.96,0.11,0.4,0.05,0.61,-0.274,-0.142,32,28,7,1,2,0.569,0.361,0.296,0.574,0.341
S3_136,0.82,0.31,0.32,0.32,0.72,0.92,0.59,0.8,0.75,0.49,0.45,0.48,0.28,0.17,0.85,0.09,0.04,0.68,-0.322,-0.27,28,34,4,2,1,0.604,0.506,0.253,0.565,0.608
S3_137,0.2,0.22,0.11,0.1,0.11,0.78,0.43,0.46,0.23,0.8,0.53,0.07,0.63,0.8,0.4,0.77,0.42,0.3,-0.297,-0.268,33,30,6,2,1,0.328,0.138,0.868,0.032,0.733
S3_138,0.95,0.45,0.18,0.62,0.08,0.19,0.14,0.64,0.79,0.77,0.67,0.25,0.01,0.4,0.05,0.64,0.51,0.98,-0.376,-0.125,30,29,5,4,4,0.726,0.737,0.198,0.533,0.565
S3_139,0.22,0.66,0.49,0.66,0.16,0.91,0.47,0.82,0.73,0.2,0.02,0.69,0.95,0,0.96,0.96,0.55,0.88,-0.276,-0.15,28,27,4,2,4,0.215,0.201,0.917,0.729,0.114
S3_140,0.13,0.33,0.52,0.41,0.08,0.04,0.47,0.61,0.45,0.1,0.42,0.28,0.59,0.84,0.01,0.61,0.67,0.17,-0.237,-0.145,29,33,2,4,3,0.578,0.212,0.528,0.702,0.599
S3_141,0.09,0.88,0.08,0.43,0.16,0.86,0.2,0.74,0.53,0.87,0.39,0.66,0.24,0.35,0.25,0.33,0.61,0.65,-0.356,-0.195,27,26,4,3,1,0.715,0.37,0.34,0.669,0.825
S3_142,0.67,0.99,0.52,0.77,0.92,0.57,0.81,0.92,0.7,0.93,0.73,0.71,0.09,0.61,0.61,0.75,0.46,0.19,-0.352,-0.221,34,28,3,1,1,0.895,0.399,0.116,0.357,0.549
S3_143,0.14,0.21,0.22,0.48,0.83,0.54,0.9,0.7,0.05,0.91,0.39,0.67,0.87,0.09,0.8,0.08,0.88,0.17,-0.385,-0.233,31,29,5,3,2,0.763,0.106,0.677,0.245,0.186
S3_144,0.61,0.01,0.91,0.07,0.42,0.48,0.62,0.67,0.84,0.65,0.95,0.15,0.64,0.43,0.54,0.69,0.6,0,-0.368,-0.157,27,34,6,4,2,0.915,0.699,0.591,0.775,0.87
S3_145,0.77,0.71,0.28,0.5,0.54,0.17,0.72,0.95,0.26,0.32,0.76,0.23,0.49,0.03,0.21,0.39,0.45,0.44,-0.298,-0.116,32,32,6,2,2,0.364,0.343,0.518,0.645,0.623
S3_146,0.99,0.97,0.8,0.34,0.58,0.15,0.76,0.4,0.57,0.03,0.8,0.74,0.66,0.12,0.5,0.71,0.86,0.25,-0.374,-0.126,32,31,2,1,4,0.914,0.568,0.028,0.082,0.914
S3_147,0.1,0.86,0.13,0.03,0.47,1,0.41,0.44,0.71,0.08,0.57,0.9,0.56,0.69,0.75,0.68,0,0.08,-0.289,-0.265,27,28,8,2,1,0.961,0.792,0.259,0.796,0.042
S3_148,0.08,0.37,0.05,0.24,0.3,0.16,0.88,0.32,0.23,0.42,0.2,0.17,0.88,0.49,0.71,0.41,0.93,0.99,-0.253,-0.216,29,29,3,1,4,0.154,0.405,0.54,0.985,0.391
S3_149,0.75,0.18,0.67,0.73,0.01,0.22,0.66,0.47,0.52,0.55,0.23,0.74,0.41,0.88,0.43,0.95,0.64,0.18,-0.33,-0.195,27,30,3,2,2,0.888,0.159,0.999,0.656,0.276
S3_150,0.79,0.65,0.6,0.7,0.71,0.41,0.91,0.51,0.04,0.46,0.55,0.08,0.03,0.19,0.52,0.17,0.89,0.47,-0.269,-0.13,25,34,6,1,2,0.359,0.706,0.407,0.221,0.927
S3_151,0.01,0.02,0.75,0.83,0.33,0.28,0.07,1,0.19,0.98,0.98,0.36,0.04,0.1,0.33,0.25,0.65,0.55,-0.325,-0.194,29,32,6,3,3,0.106,0.662,0.797,0.827,0.632
S3_152,0.4,0.97,0.4,0.64,0.92,0.18,0.84,0.99,0.85,0.74,0.13,0.8,0.01,0.36,0.28,0.43,0.26,0.04,-0.391,-0.181,29,30,3,4,3,0.02,0.521,0.904,0.363,0.494
S3_153,0.62,0.45,0.17,0.79,0.48,0.51,0.53,0.6,0.82,0.93,0.27,0.17,0.66,0.67,0.53,0.15,0.89,0.27,-0.313,-0.194,26,34,3,2,4,0.69,0.898,0.811,0.573,0.911
S3_154,0.57,0.91,0.59,0.72,0.08,0.73,0.37,0.97,0.14,0.32,0.72,0.8,0.72,0.94,0.49,0.37,0.88,0.59,-0.369,-0.252,29,29,4,2,2,0.269,0.06,0.022,0.584,0.726
S3_155,0.23,0.08,0.03,0.6,0.49,0.31,0.74,0.48,0.6,0.97,0.48,0.94,0.46,0.8,0.13,0.36,0.99,0.14,-0.258,-0.145,26,34,8,1,3,0.158,0.491,0.958,0.781,0.496
S3_156,0.26,0.39,0.15,0.66,0.53,0.6,0.95,0.13,0.85,0.3,0.53,0.33,0.37,0.14,0.55,0.14,0.82,0.84,-0.381,-0.143,26,32,7,3,1,0.894,0.965,0.122,0.281,0.492
S3_157,0.42,0.35,0.99,0.54,0.03,0.13,0.78,0.36,0.53,0.78,0.95,0.01,0.43,0.6,0.69,0.3,0.91,0.66,-0.338,-0.121,34,31,4,1,3,0.485,0.622,0.681,0.803,0.311
S3_158,0.74,0.5,0.94,0.21,0.15,0.28,0.19,0.14,0.95,0.21,0.31,0.61,0.43,0.29,0.22,0.22,0.76,0.21,-0.318,-0.122,33,34,5,2,2,0.804,0.823,0.218,0.708,0.693
S3_159,0.49,0.23,0.32,0.65,0.18,0.74,0.05,0.9,0.71,0.82,0.29,0.52,0.4,0.92,0.7,0.59,0.23,0.35,-0.248,-0.188,26,32,6,3,1,0.883,0.171,0.082,0.104,0.501
S3_160,0.07,0.31,0.01,0.18,0.6,0.25,0.79,0.86,0.42,0.76,0.6,0.74,0.03,0.78,0.09,0.01,0.34,0.86,-0.303,-0.201,25,30,6,2,3,0.322,0.274,0.254,0.786,0.555
S3_161,0.81,0.13,0.39,0.21,0.74,0.6,0.71,0.5,0.36,0.23,0.63,0.98,0.99,0.2,0.8,0.97,0.94,0.73,-0.327,-0.14,34,25,3,2,2,0.798,0.673,0.795,0.135,0.21
S3_162,0.59,0.91,0.83,0.68,0.23,0.1,0.39,0.12,0.25,0.36,0.71,0.33,0.85,0.25,0.58,0.97,0.3,0.25,-0.241,-0.141,30,33,6,2,4,0.083,0.744,0.374,0.74,0.284
S3_163,0.7,0.36,0.36,0.71,0.92,0.19,0.83,0.98,0.64,0.49,0.8,0.42,0.9,0.53,0.93,0.11,0.59,0.29,-0.399,-0.162,26,28,7,4,1,0.244,0.462,0.56,0.023,0.784
S3_164,0.77,0.9,0.9,0.61,0.28,0.17,0.07,0.96,0.98,0.13,0.89,0.47,0.19,0.08,0.98,0.33,0.58,0.91,-0.234,-0.211,27,26,5,3,1,0.45,0.999,0.148,0.453,0.411
S3_165,0.58,0.95,0.69,0.54,0.42,0.07,0.29,0.77,0.59,0.69,0.64,0.2,0.41,0.27,0.19,0.41,0.54,0.71,-0.387,-0.177,31,29,6,4,3,0.248,0.464,0.354,0.911,0.613
S3_166,0.91,0.78,0.85,0.3,0.01,0.69,0.71,0.27,0.19,0.38,0.12,0.68,0.93,0.91,0.46,0.26,0.59,0.19,-0.388,-0.166,33,27,3,3,2,0.321,0.584,0.511,0.457,0.393
S3_167,0.83,0.39,0.99,0.84,0.34,0.73,0.75,0.17,0.13,0.23,0.53,0.67,0.59,0.11,0.66,0.44,0.3,0.28,-0.394,-0.26,31,32,5,2,3,0.93,0.675,0.793,0.032,0.416
S3_168,0.19,0.65,0.89,0.43,0.73,0.87,0.68,0.69,0.02,0.7,0.42,0.71,0.4,0.71,0.63,0.67,0.72,0.3,-0.373,-0.175,27,28,3,2,3,0.045,0.53,0.63,0.859,0.977
S3_169,0.67,0.4,0.96,0.21,0.19,0.18,0.39,0.99,0.56,0.51,0.49,0.06,0.89,0.33,0.12,0.85,0.02,0.43,-0.359,-0.199,31,31,8,1,2,0.457,0.243,0.847,0.772,0.309
S3_170,0.81,0.79,0.35,0.38,0.71,0.81,0.07,0.74,0.8,0.96,0.2,0.98,0.66,0.91,0.27,0.13,0.91,0.02,-0.366,-0.114,34,27,5,1,1,0.048,0.926,0.942,0.833,0.684
S3_171,0.13,0.44,0.8,0.6,0.4,0.94,1,0.89,0.25,0.7,0.87,0.05,0.62,1,0.61,0.31,0.2,0.28,-0.344,-0.275,27,31,6,4,4,0.242,0.84,0.933,0.085,0.947
S3_172,0.68,0.05,0.33,0.76,0.85,0.97,0.44,0.66,0.84,0.37,0.84,0.87,0.45,0.28,0.35,0.7,0.6,0.02,-0.284,-0.144,26,32,3,3,3,0.81,0.152,0.581,0.204,0.014
S3_173,0.14,0.96,0.61,0.57,0.52,0.76,0.78,0.6,0.51,0.7,0.37,0.27,0.52,0.42,0.09,0.05,0.05,0.85,-0.32,-0.197,33,25,3,4,3,0.953,0.27,0.09,0.055,0.895
S3_174,0.98,0.35,0.9,0.95,0.46,0,0.41,0.14,0.03,0.78,0.23,0.96,0.94,0.66,0.67,0.67,0.23,0.08,-0.324,-0.176,33,29,2,4,3,0.27,0.981,0.151,0.475,0.9
S3_175,0.63,0.42,0.96,0.02,0.69,0.32,0.45,0.15,0.62,0.85,0.5,0.95,0.38,0.79,0.43,0.48,0.63,0.55,-0.252,-0.148,27,34,3,2,3,0.435,0.329,0.048,0.101,0.408
S3_176,0.45,0.7,0.25,0.98,0.88,0.78,0.15,0.23,0.23,0.49,0.12,0.2,0.99,0.71,0.88,0.06,0.69,0.36,-0.375,-0.243,33,29,3,3,4,0.144,0.411,0.4,0.192,0.005
S3_177,0.88,0.05,0.64,0.01,0.07,0.94,0.95,0.59,0.82,0.22,0.07,0.92,0.23,0.58,0.99,0.63,0.58,0.35,-0.257,-0.136,27,32,3,1,2,1,0.148,0.145,0.057,0.575
S3_178,0.72,0.17,0.49,0.95,0.76,0.8,0.28,0.52,0.85,0.32,0.11,0.29,0.21,0.6,0.35,0.76,0.9,0.44,-0.365,-0.142,29,33,7,3,4,0.597,0.383,0.956,0.071,0.744
S3_179,0.23,0.65,0.97,0.31,0.63,0.09,0.08,0.67,0.75,0.4,1,0.79,0.57,0.54,0.45,0.51,0.25,0.69,-0.309,-0.27,30,27,4,4,3,0.301,0.885,0.938,0.731,0.86
S3_180,0.09,0.19,0.99,0.27,0.6,0.07,0.16,0.88,0.67,0.18,0.7,0.22,0.94,0.51,0.84,0.37,0.83,0.74,-0.386,-0.153,34,25,4,2,3,0.213,0.913,0.515,0.667,0.924
S3_181,0.75,0.96,0.09,0.73,0.94,0.98,0.89,0.76,0.6,0.58,0.07,0.11,0.36,0.19,0.99,0.56,0.61,0.41,-0.33,-0.262,34,33,3,3,2,0.812,0.12,0.614,0.309,0.513
S3_182,1,0.04,0.49,0.59,0.44,0.55,0.03,0.22,0.3,0.83,0.75,0.34,0.55,0.08,0.96,0.06,0.49,0.26,-0.282,-0.219,30,27,4,4,3,0.704,0.706,0.948,0.959,0.464
S3_183,0.47,0.6,0.84,0.74,0.57,0.03,0.2,0.09,1,0,0.33,0.88,0.55,0.59,0.94,0.82,0.15,0.22,-0.321,-0.264,31,34,7,2,3,0.454,0.719,0.645,0.571,0.098
S3_184,0.38,0.08,0.02,0.88,0.67,0.93,0.84,0.62,0.12,0.22,0.9,0.31,0.71,0.15,0.38,0.44,0.67,0.08,-0.348,-0.144,30,28,6,2,3,0.738,0.68,0.601,0.557,0.535
S3_185,0.76,0.56,0.89,0.04,0.56,0.93,0.17,0.62,0.38,0.34,0.25,0.36,0.27,0.18,0.92,0.01,0.78,0.2,-0.332,-0.203,32,31,7,3,4,0.39,0.497,0.896,0.013,0.701
S3_186,0.44,0.94,0.98,0.46,0.98,0.22,0.3,0.43,0.17,0.12,0.06,0.63,0.92,0.21,0.9,0.71,0.16,0.93,-0.298,-0.191,30,29,6,2,4,0.663,0.269,0.859,0.403,0.709
S3_187,0.43,0.35,0.75,0.84,0.1,0.82,0.79,0.24,0.37,0.86,0.56,0.2,0.57,0.86,0.69,0.73,0.73,0.28,-0.312,-0.154,30,30,4,4,4,0.901,0.195,0.353,0.379,0.661
S3_188,0.36,0.59,0.52,0.46,0.5,0.26,0.39,0.33,0.63,0.62,0.93,0.28,0.77,0.8,0.24,0.07,0.53,0.48,-0.292,-0.186,35,33,7,2,3,0.896,0.606,0.584,0.877,0.174
S3_189,0.88,0.75,0.76,0.75,0.07,0.18,0.94,0.28,0.56,0.94,0.04,0.3,0.98,0.09,0.26,0.67,0.45,0.02,-0.355,-0.134,28,27,4,2,2,0.639,0.057,0.432,0.177,0.651
S3_190,0.96,0.71,0.24,0.24,0.25,0.09,0.3,0.16,0.46,0.61,0.72,0.35,0.58,0.64,0.58,0.64,0.32,0.63,-0.305,-0.179,28,25,6,2,1,0.737,0.794,0.273,0.864,0.963
S3_191,0.61,0.26,0.45,0.86,0.05,0.84,0.25,0.15,0.83,0.08,0.36,0.73,0.94,0.63,0.47,0.58,0.82,0.95,-0.307,-0.22,30,35,6,2,2,0.665,0.377,0.717,0.806,0.992
S3_192,0.66,0.19,0.57,0.79,0.02,0.83,0.12,0.84,0.91,0.75,0.24,0.59,0.98,0.26,0.24,0.89,0.09,0.59,-0.303,-0.264,27,29,8,2,3,0.628,0.39,0.242,0.313,0.622
S3_193,0.82,0.61,0.19,0.18,0.35,0.65,0.44,0.57,0.62,0.38,0.92,0.95,0.61,0.83,0.17,0.78,0.87,0.47,-0.403,-0.179,26,35,4,3,2,0.061,0.645,0.017,0.424,0.983
S3_194,0.96,0.96,0.52,0.22,0.03,0.82,0.93,0.69,0.77,0.19,0.91,0.24,0,0.79,0.33,0.53,0.05,0.47,-0.25,-0.206,35,29,5,3,1,0.171,0.104,0.446,0.417,0.961
S3_195,0.51,0.06,0.11,0.29,0.46,0.67,0.72,0.15,0.96,0.44,0.4,0.58,0.57,0.1,0.46,0.1,0.55,0.81,-0.296,-0.119,28,26,6,1,2,0.134,0.431,0.594,0.14,0.226
S3_196,0.98,0.2,0.45,0.51,0.49,0.56,0.63,0.2,0.35,0.78,0.88,0.32,0.7,0.41,0.5,0.95,0.78,0.93,-0.251,-0.265,29,32,3,4,2,0.513,0.017,0.673,0.842,0.569
S3_197,0.1,0.1,0.14,0.34,0.34,0.15,0.56,0.75,0.67,0.47,0.62,0.81,0.71,0.69,0.49,0.86,0.99,0.67,-0.28,-0.271,29,27,6,3,3,0.403,0.224,0.77,0.196,0.427
S3_198,0.57,0.54,0.01,0.1,0.65,0.49,0.36,0.78,0.48,0.47,0.93,0.54,0.28,0.41,0.91,0.03,0.74,0.74,-0.336,-0.231,31,32,2,2,4,0.041,0.991,0.72,0.69,0.811
S3_199,0.47,0.75,0.67,0.72,0.54,0.03,0.13,0.33,0.25,0.81,0.44,0.12,0.07,0.94,0.18,0.28,0.01,0.85,-0.301,-0.257,32,34,7,2,1,0.118,0.493,0.69,0.623,0.955
S3_200,0.1,0.29,0.44,0.22,0.38,0.85,0.46,0.08,0.99,0.2,0.5,0.88,0.39,0.41,0.02,0.77,0.57,0.45,-0.38,-0.165,32,30,3,1,4,0.931,0.973,0.747,0.829,0.145
S3_201,0.13,0.25,0.23,0.31,0.2,0.9,0.55,0.28,0.96,0.75,0.04,0.55,0.4,0.72,0.02,0.31,0.43,0.92,-0.31,-0.266,33,30,3,2,3,0.211,0.602,0.413,0.678,0.93
S3_202,0.36,0.3,0.95,0.88,0.23,0.34,0.33,0.53,0.31,0.82,0.03,0.47,0.66,1,0.75,0.5,0.99,0.63,-0.29,-0.273,25,34,7,4,2,0.884,0.028,0.711,0.686,0.388
S3_203,0.14,0.57,0.57,0.77,0.69,0.75,0.95,0.36,0.04,0.06,0.78,0.12,0.51,0.16,0.93,0.16,0.24,0.84,-0.366,-0.184,34,27,8,3,3,0.265,0.467,0.791,0.199,0.242
S3_204,0.78,0.83,0.66,0.58,0.53,0.46,0.14,0.24,0.78,0.02,0.64,0.45,0.78,0.16,0.79,0.18,0.11,0.14,-0.243,-0.213,27,27,4,3,2,0.879,0.502,0.547,0.628,0.077
S3_205,0.11,0.94,0.82,0.59,0.35,0.3,0,0.88,0.98,0.65,0.96,0.4,0.45,0.04,0.52,0.62,0.42,0.62,-0.234,-0.26,27,30,5,4,3,0.845,0.436,0.209,0.119,0.722
S3_206,0.5,0.68,0.54,0.86,0.78,0.86,0.71,0.02,0.15,0.88,0.45,0.31,0.73,0.64,0.45,0.53,0.1,0.06,-0.385,-0.161,34,31,5,3,1,0.965,0.371,0.034,0.592,0.305
S3_207,0.4,0.53,0.69,0.57,0.69,0.07,0.82,0.57,0.89,0.13,0.74,0.86,0.54,0.9,0.92,0.45,0.43,0.51,-0.4,-0.275,35,25,6,2,1,0.31,0.192,0.495,0.824,0.364
S3_208,0.53,0.27,0.03,0.76,0.43,0.13,0.65,0.96,0.74,0.48,0.78,0.73,0.76,0.24,0.08,0.94,0.84,0.36,-0.356,-0.24,28,29,3,3,2,0.24,0.182,0.786,0.154,0.951
S3_209,0.24,0.36,0.23,0.51,0.89,0.7,0.11,0.69,0.24,0.18,0.82,0.03,0.33,0.92,0.24,0.99,0.32,0.84,-0.392,-0.203,30,30,2,2,4,0.958,0.933,0.412,0.632,0.405
S3_210,0.17,0.8,0.43,0.92,0.76,0.72,0.93,0.62,0.88,0.58,0.89,0.55,0.15,0.6,0.72,0.94,0.75,0.82,-0.267,-0.125,26,25,7,3,3,0.401,0.002,0.07,0.319,0.473
S3_211,0.21,0.23,0.89,0.12,0.04,0.24,0.71,0.07,0.15,0.37,0.81,0.05,0.88,0.14,0.39,0.97,0.36,0.53,-0.392,-0.117,32,30,3,2,3,0.259,0.316,0.28,0.676,0.55
S3_212,0.56,0.89,0.77,0.93,0.2,0.84,0.02,0.66,0.94,0.46,0.4,0.23,0.46,0.68,0.77,0.23,0.49,0.05,-0.402,-0.15,34,33,4,4,2,0.514,0.421,0.422,0.492,0.108
S3_213,0.68,0.64,0.16,0.6,0.37,0.67,0.04,0.39,0.71,0.13,0.32,0.45,0.14,0.92,0.35,0.07,0.38,0.1,-0.404,-0.113,28,31,6,2,1,0.152,0.232,0.361,0.451,0.855
S3_214,0.45,0.51,0.92,0.07,0.31,0.14,0.5,0.05,0.1,0.83,0.55,0.91,0.76,0.87,0.37,0.4,0.16,0.97,-0.345,-0.22,32,34,6,2,1,0.124,0.248,0.179,0.758,0.363
S3_215,0.03,0.32,0.65,0.74,0.36,0.7,0.92,0.01,0.89,0.29,0.03,0.98,0.77,0.9,0.55,0.17,0.94,0.44,-0.306,-0.155,34,26,7,2,3,0.649,0.129,0.018,0.243,0.101
S3_216,0.64,0.09,0.51,0.55,0.78,0.75,0.85,0.48,0.78,0.51,0.57,0.64,0.06,0.3,0.04,0.12,0.89,0.19,-0.395,-0.205,26,25,8,3,2,0.731,0.616,0.818,0.772,0.572
S3_217,0.01,0.56,0.86,0.79,0.92,0.3,0.11,0.88,0.04,0.57,0.04,0.7,0.75,0.64,0.12,0.59,0.7,0.66,-0.388,-0.248,26,26,7,1,3,0.394,0.756,0.483,0.377,0.042
S3_218,0.79,0.26,0.46,0.99,0.11,0.79,0.07,0.43,0.35,0.1,0.97,0.63,0.68,0.71,0.62,0.34,0.27,0.09,-0.332,-0.162,25,35,4,2,4,0.72,0.648,0.508,0.082,0.915
S3_219,0.15,0.79,0.43,0.67,0.66,0.87,0.8,0.17,0.32,0.11,0.56,0.85,0.67,0.46,0.96,0.8,0.86,0.69,-0.31,-0.151,33,27,7,4,3,0.962,0.894,0.603,0.76,0.871
S3_220,0.99,0.03,0.26,0.02,0.88,0.41,0.25,0.2,0.95,0.67,0.36,0.5,0.19,0.34,0.71,0.27,0.03,0.4,-0.397,-0.188,31,27,3,1,4,0.976,0.888,0.207,0.819,0.878
S3_221,0.66,0.69,0.87,0.57,0.16,0.32,0.8,0.53,0.87,0.28,0.78,0.59,0.34,0.5,0.11,0.24,0.04,0.79,-0.245,-0.196,34,33,4,3,3,0.009,0.047,0.446,0.85,0.757
S3_222,0.37,0.42,0.53,0.72,0.98,0.9,0.24,0.42,0.9,0.73,0.81,0.7,0.29,0.55,0.22,0.75,0.73,0.6,-0.358,-0.137,26,29,5,2,3,0.261,0.331,0.939,0.926,0.02
S3_223,0.85,0.88,0.55,0.24,0.13,0.39,0.64,0.71,0.72,0.34,0.93,0.72,0.34,0.05,0.67,0.57,0.96,0.58,-0.362,-0.192,30,29,4,3,3,0.938,0.145,0.863,0.061,0.541
S3_224,0.65,0.9,0.83,0.51,0.89,0.09,0.16,0.16,0.8,0.59,0.51,0.09,0.91,0.62,0.62,0.85,0.41,0.96,-0.361,-0.207,33,28,4,1,3,0.517,0.114,0.036,0.589,0.562
S3_225,0.52,0.4,0.63,0.53,0.62,0.76,0.19,0.19,0.41,0.17,0.39,0.92,0.8,0.48,0.24,0.07,0.11,0.34,-0.295,-0.173,32,34,6,2,2,0.498,0.542,0.463,0.874,0.047
S3_226,0.49,0.12,0.34,0.66,0.02,0.1,0.31,0.4,0.49,0.61,0,0.6,0.32,0.15,0.68,0.35,0.65,0.57,-0.241,-0.129,32,28,3,3,2,0.791,0.372,0.261,0.647,0.97
S3_227,0.9,0.8,0.2,0.69,0.74,0.95,0.22,0.09,0.49,0.02,0.86,0.65,0.35,0.36,0.03,0.42,0.28,0.82,-0.277,-0.204,33,31,8,4,4,0.547,0.287,0.828,0.292,0.982
S3_228,0.3,0.34,0.7,0.62,0.72,0.89,0.33,0.63,0.92,0.21,0.28,0.42,0.15,0.83,0.61,0.95,0.54,0.77,-0.245,-0.246,25,30,3,2,2,0.89,0.532,0.032,0.496,0.91
S3_229,0.44,0.02,0.86,0.4,0.51,0.66,0.38,0.81,0.63,0.39,0.47,0.49,0.42,0.06,0.64,0.75,0.62,0.62,-0.264,-0.186,30,30,4,2,2,0.65,0.907,0.441,0.882,0.01
S3_230,0.5,0.94,0.58,0.17,0.77,0.41,0.87,0.49,0.19,0.18,0.52,0.16,0.29,0.37,0.29,0.43,0.08,0.11,-0.265,-0.25,27,29,8,2,4,0.336,0.604,0.071,0.37,0.258
S3_231,0.3,0.43,0.1,0.87,0.97,0.71,0.01,0.68,0.28,0.95,0.63,0.94,0.95,0.33,0.2,0.94,0.5,0.75,-0.294,-0.164,29,30,6,2,4,0.329,0.281,0.734,0.831,0.233
S3_232,0.94,0.98,0.41,0.85,0.1,0.51,0.37,0.6,0.3,0.17,0.43,0.13,0.39,0.92,0.6,0.04,0.32,0.97,-0.29,-0.156,33,33,8,3,1,0.366,0.6,0.967,0.945,0.034
