scenario,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_onshore,lead_solar,lead_commission,cr_wind,cr_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S3_109,0.61,0.12,0.18,0.8,0.14,0.96,0.04,0.22,0.96,0.51,0.22,0.56,0.99,0.29,0.06,-0.286,-0.275,34.8,32.743,2.391,1.433,0.758,-0.921,-2.896,0.057,0.919,0.349,0.592,0.711
S3_110,0.73,0.19,0.67,0.86,0.2,0.8,0.02,0.69,0.22,0.35,0.43,0.45,0.02,0.43,0.23,-0.335,-0.185,29.77,26.999,2.773,2.236,0.399,-0.726,-2.382,0.456,0.293,0.543,0.861,0.934
S3_111,0.34,0.17,0.92,0.48,0.66,0.02,0.22,0.67,0.21,0.65,0.57,0.94,0.5,0.33,0.09,-0.371,-0.22,26.291,28.134,2.019,2.019,0.077,-0.721,-1.427,0.132,0.767,0.137,0.77,0.581
S3_112,0.02,1.0,0.07,0.28,0.39,0.92,0.32,0.34,0.25,0.82,0.56,0.69,0.0,0.67,0.64,-0.381,-0.192,29.895,28.697,2.414,1.58,0.178,-1.04,-2.659,0.164,0.975,0.086,0.459,0.988
S3_113,0.94,0.29,0.11,0.83,0.61,0.2,0.29,0.45,0.26,0.68,0.33,0.42,0.73,0.69,0.3,-0.332,-0.202,32.555,28.033,2.148,1.252,0.624,-0.806,-3.287,0.907,0.925,0.565,0.101,0.196
S3_114,0.56,0.55,0.83,0.09,0.47,0.48,0.18,0.01,0.0,0.46,0.27,0.56,0.51,0.41,0.03,-0.266,-0.124,25.078,29.332,2.186,2.425,0.267,-0.807,-2.757,0.705,0.992,0.339,0.991,0.373
S3_115,0.37,0.75,0.32,0.04,0.46,0.37,0.03,0.2,0.66,0.83,0.97,0.51,1.0,0.8,0.5,-0.384,-0.249,29.605,30.333,2.954,2.364,0.548,-0.745,-1.523,0.162,0.119,0.299,0.44,0.258
S3_116,0.91,0.82,0.59,0.1,0.05,0.44,0.58,0.36,0.61,1.0,0.48,0.93,0.27,0.27,0.33,-0.279,-0.247,26.125,28.018,2.857,1.858,0.61,-0.8,-3.14,0.111,0.999,0.254,0.977,0.33
S3_117,0.83,0.36,0.27,0.54,0.27,0.8,0.29,0.55,0.69,0.62,0.04,0.86,0.22,0.08,0.4,-0.34,-0.197,31.687,27.732,2.618,1.631,0.081,-0.86,-1.591,0.733,0.319,0.161,0.942,0.634
S3_118,0.82,0.17,0.59,0.87,0.61,0.94,0.91,0.15,0.64,0.38,0.04,0.49,0.52,0.64,0.21,-0.386,-0.135,26.799,29.348,2.351,1.348,0.871,-0.755,-1.994,0.622,0.685,0.648,0.194,0.038
S3_119,0.0,0.8,0.3,0.42,0.35,0.17,0.96,0.46,0.48,0.39,0.91,0.22,0.81,0.04,0.14,-0.348,-0.131,34.612,26.788,2.994,2.344,0.054,-0.653,-2.701,0.13,0.997,0.754,0.905,0.441
S3_120,0.32,0.64,0.53,0.69,0.9,0.6,0.58,0.68,0.1,0.43,0.31,0.61,0.32,0.16,0.74,-0.376,-0.135,27.655,34.164,2.599,2.82,0.878,-0.893,-2.667,0.02,0.209,0.356,0.875,0.77
S3_121,0.96,0.16,0.72,0.51,0.73,0.86,0.22,0.14,0.6,0.62,0.58,0.18,0.06,0.82,0.64,-0.261,-0.193,26.265,25.665,2.787,2.399,0.668,-1.034,-2.132,0.946,0.376,0.984,0.907,0.481
S3_122,0.49,0.82,0.97,0.15,0.82,0.85,0.87,0.88,0.82,0.53,0.39,0.88,0.59,0.35,0.57,-0.308,-0.242,25.221,32.471,2.46,1.626,0.192,-0.717,-1.735,0.137,0.821,0.657,0.228,0.439
S3_123,0.03,0.76,0.89,0.21,0.5,0.91,0.04,0.14,0.93,0.19,0.44,0.27,0.56,0.63,0.97,-0.237,-0.255,26.004,27.003,2.183,2.88,0.868,-0.997,-2.441,0.158,0.057,0.92,0.651,0.384
S3_124,0.63,0.33,0.16,0.46,0.25,0.98,0.49,0.13,0.41,0.23,0.67,0.88,0.67,0.47,0.42,-0.269,-0.193,26.448,28.715,2.712,2.671,0.548,-1.069,-1.802,0.64,0.584,0.377,0.835,0.125
S3_125,0.48,0.52,0.05,0.94,0.23,0.38,0.57,0.44,0.14,0.84,0.02,0.77,0.41,0.72,0.33,-0.265,-0.21,33.69,33.719,2.981,2.566,0.232,-0.71,-3.156,0.82,0.781,0.479,0.041,0.872
S3_126,0.53,0.58,0.67,0.62,0.52,0.27,0.51,0.3,0.61,0.41,0.15,0.55,0.52,0.64,0.52,-0.324,-0.12,27.833,25.946,2.922,2.947,0.581,-1.102,-1.761,0.682,0.304,0.308,0.765,0.703
S3_127,0.48,0.38,0.19,0.62,0.15,0.76,0.8,0.96,0.8,0.57,0.23,0.91,0.45,0.49,0.86,-0.333,-0.138,28.327,33.359,2.487,2.463,0.817,-0.816,-1.671,0.421,0.112,0.556,0.615,0.934
S3_128,0.25,0.05,0.2,0.92,0.33,0.13,0.97,0.19,0.24,0.09,0.89,0.06,0.04,0.38,0.19,-0.351,-0.114,26.98,29.749,2.364,2.142,0.396,-1.086,-2.684,0.725,0.587,0.912,0.828,0.368
S3_129,0.04,0.47,0.11,0.3,0.45,0.73,0.04,0.84,0.91,0.1,0.93,0.44,0.93,0.99,0.9,-0.397,-0.226,27.946,34.552,2.383,2.836,0.782,-0.714,-2.688,0.289,0.046,0.711,0.785,0.992
S3_130,0.65,0.15,0.65,0.84,0.66,0.87,0.11,0.28,0.44,0.17,0.99,0.85,0.24,0.57,0.09,-0.29,-0.266,34.387,32.268,2.835,1.898,0.126,-1.072,-1.448,0.939,0.737,0.769,0.58,0.399
S3_131,0.65,0.19,0.98,0.0,0.27,0.05,0.77,0.27,0.35,0.26,0.94,0.06,0.95,0.76,0.31,-0.379,-0.265,28.799,34.605,2.55,2.422,0.436,-0.942,-3.081,0.873,0.328,0.495,0.22,0.942
S3_132,0.78,0.11,0.65,0.36,0.52,0.66,0.21,0.86,0.12,0.62,0.1,0.41,0.15,0.15,0.95,-0.277,-0.19,31.636,34.282,2.277,1.863,0.777,-0.776,-2.255,0.095,0.107,0.011,0.011,0.619
S3_133,0.34,0.61,0.18,0.77,0.52,0.91,0.8,0.35,0.74,0.11,0.09,0.42,0.85,0.75,0.09,-0.375,-0.161,31.811,26.494,2.879,1.251,0.951,-0.99,-2.313,0.016,0.545,0.961,0.474,0.001
S3_134,0.52,0.2,0.93,0.14,0.14,0.43,0.8,0.94,0.39,0.74,0.6,0.24,0.53,0.25,0.26,-0.303,-0.181,32.616,30.846,2.582,1.352,0.329,-0.779,-1.576,0.047,0.449,0.17,0.85,0.833
S3_135,0.58,0.93,0.72,0.79,0.75,0.53,0.19,0.83,0.68,0.19,0.01,0.97,0.21,0.49,0.57,-0.267,-0.205,26.627,25.833,2.811,2.277,0.109,-0.95,-2.642,0.559,0.217,0.514,0.714,0.311
S3_136,0.63,0.42,0.85,0.11,0.53,0.54,0.74,0.22,0.64,0.85,0.86,0.82,0.96,0.42,0.63,-0.391,-0.16,33.356,30.508,2.866,1.155,0.885,-0.92,-1.552,0.912,0.613,0.29,0.364,0.417
S3_137,0.82,0.7,0.46,0.82,0.18,0.29,0.21,0.4,0.4,0.27,0.56,0.19,0.13,0.51,0.83,-0.303,-0.245,31.355,32.797,2.899,2.313,0.211,-1.036,-2.677,0.357,0.541,0.748,0.249,0.927
S3_138,0.41,0.54,0.32,0.12,0.55,0.0,0.98,0.22,0.62,0.22,0.74,0.71,0.34,0.85,0.71,-0.263,-0.26,32.199,27.774,2.113,2.486,0.303,-0.984,-2.527,0.726,0.176,0.708,0.052,0.326
S3_139,0.46,0.44,0.04,0.98,0.2,0.87,0.33,0.42,0.7,0.53,0.92,0.39,0.52,0.02,0.39,-0.358,-0.276,33.98,27.072,2.154,1.833,0.918,-0.75,-3.153,0.619,0.597,0.196,0.507,0.117
S3_140,0.69,0.07,0.11,0.76,0.33,0.43,0.35,0.61,0.79,0.44,0.47,0.47,0.55,0.69,0.43,-0.247,-0.243,32.562,31.23,2.384,1.7,0.562,-0.862,-2.184,0.517,0.3,0.651,0.058,0.74
S3_141,0.49,0.53,0.11,0.76,0.57,0.27,0.83,0.15,0.56,0.54,0.89,0.27,0.16,0.53,0.69,-0.338,-0.15,33.289,29.448,2.973,2.32,0.085,-1.064,-2.143,0.449,0.538,0.972,0.089,0.029
S3_142,0.08,0.14,0.06,0.33,0.29,0.51,0.33,0.28,0.63,0.55,0.36,0.11,0.53,0.27,0.69,-0.271,-0.226,27.292,26.125,2.125,2.048,0.407,-0.987,-2.695,0.369,0.608,0.156,0.343,0.82
S3_143,0.32,0.52,0.81,0.4,0.26,0.3,0.66,0.43,0.73,0.83,0.73,0.86,0.58,0.57,0.43,-0.322,-0.152,32.336,28.984,2.988,2.091,0.269,-1.028,-3.29,0.632,0.986,0.519,0.922,0.523
S3_144,0.16,0.99,0.18,0.68,0.89,0.71,0.5,0.28,0.09,0.18,0.52,0.29,0.38,0.25,0.01,-0.358,-0.123,29.979,26.737,2.12,1.875,0.708,-0.667,-1.879,0.569,0.804,0.737,0.517,0.89
S3_145,0.93,0.09,0.89,0.24,0.99,0.29,0.96,0.61,0.57,0.11,0.03,0.37,0.58,0.47,0.46,-0.37,-0.118,33.042,25.068,2.691,1.912,0.262,-0.79,-3.187,0.624,0.223,0.936,0.413,0.902
S3_146,0.14,0.6,0.77,0.92,0.66,0.97,0.49,0.01,0.78,0.99,0.28,0.31,0.3,0.28,0.25,-0.372,-0.118,25.324,31.729,2.223,2.295,0.479,-0.715,-1.714,0.438,0.87,0.685,0.66,0.446
S3_147,0.24,0.98,0.95,0.73,0.42,0.95,0.42,0.14,0.58,0.11,0.25,0.31,0.71,0.29,0.77,-0.392,-0.189,30.113,34.209,2.943,2.686,0.144,-0.691,-1.558,0.607,0.976,0.362,0.569,0.262
S3_148,0.86,0.96,0.29,0.02,0.73,0.4,0.03,0.92,0.29,0.41,0.38,0.99,0.47,0.1,0.61,-0.239,-0.156,27.152,27.568,2.639,2.66,0.385,-0.738,-2.27,0.409,0.957,0.86,0.557,0.309
S3_149,0.15,0.28,0.09,0.13,0.39,0.77,0.83,0.99,0.34,0.68,0.43,0.77,0.73,0.84,0.13,-0.302,-0.255,28.685,32.202,2.704,2.196,0.45,-0.922,-2.498,0.492,0.206,0.399,0.043,0.854
S3_150,0.57,0.58,0.91,0.75,0.98,0.3,0.85,0.56,0.07,0.46,0.63,0.61,0.97,0.39,0.81,-0.342,-0.119,33.039,26.85,2.199,2.123,0.986,-1.105,-1.938,0.842,0.363,0.145,0.768,0.103
S3_151,0.79,0.26,0.66,0.84,0.1,0.37,0.75,0.31,0.12,0.48,0.1,0.77,0.36,0.15,0.13,-0.268,-0.253,26.383,32.344,2.169,2.771,0.392,-0.868,-2.611,0.628,0.589,0.534,0.304,0.981
S3_152,0.78,0.91,0.54,0.71,0.75,0.72,0.31,0.73,0.89,0.21,0.53,0.1,0.23,0.49,0.51,-0.257,-0.137,25.183,34.592,2.021,1.929,0.937,-0.83,-2.777,0.246,0.843,0.172,0.83,0.422
S3_153,0.42,0.69,0.42,0.88,0.29,0.13,0.44,0.54,0.49,0.83,0.19,0.23,0.81,0.52,0.33,-0.366,-0.236,30.927,26.929,2.513,1.925,0.563,-0.937,-1.496,0.871,0.511,0.791,0.397,0.76
S3_154,0.3,0.51,0.28,0.88,0.1,0.83,0.98,0.23,0.49,0.15,0.08,0.12,0.4,0.14,0.81,-0.4,-0.258,34.043,34.903,2.341,1.172,0.182,-0.863,-1.662,0.12,0.614,0.878,0.026,0.606
S3_155,0.02,0.62,0.23,0.63,0.86,0.93,0.09,0.79,0.77,0.03,0.21,0.13,0.23,0.22,0.07,-0.279,-0.112,30.71,28.95,2.507,2.096,0.387,-0.662,-2.736,0.875,0.833,0.337,0.3,0.509
S3_156,0.82,0.21,0.86,0.36,0.86,0.12,0.74,0.26,0.67,0.87,0.3,0.09,0.02,0.65,0.79,-0.288,-0.113,33.114,33.566,2.75,1.614,0.762,-0.697,-2.589,0.243,0.728,0.528,0.424,0.983
S3_157,0.66,0.86,0.73,0.65,0.3,0.39,0.11,0.16,0.61,0.43,0.67,0.12,0.63,0.92,0.09,-0.369,-0.253,28.06,28.312,2.203,2.748,0.748,-0.903,-2.982,0.741,0.852,0.23,0.796,0.303
S3_158,0.55,0.33,0.63,0.81,0.3,0.49,0.67,0.07,0.9,0.86,0.85,0.91,0.47,0.73,0.99,-0.243,-0.259,28.126,31.685,2.746,1.64,0.344,-0.752,-1.583,0.278,0.986,0.836,0.618,0.769
S3_159,0.55,0.08,0.73,0.58,0.18,0.44,0.08,0.72,0.76,0.43,0.9,0.86,0.09,0.66,0.46,-0.31,-0.187,27.421,26.393,2.244,1.532,0.798,-0.734,-1.709,0.153,0.477,0.8,0.06,0.475
S3_160,0.14,0.99,0.7,0.29,0.19,0.28,0.46,0.97,0.82,0.18,0.73,0.33,0.33,0.78,0.87,-0.281,-0.211,29.699,33.953,2.542,2.807,0.666,-0.733,-2.196,0.584,0.812,0.953,0.48,0.47
S3_161,0.56,0.65,0.58,0.01,0.16,0.91,0.43,0.54,0.32,0.29,0.07,0.3,0.04,0.66,0.59,-0.33,-0.144,30.283,33.475,2.236,1.103,0.535,-0.638,-3.041,0.193,0.773,0.147,0.28,0.881
S3_162,0.34,0.33,0.88,0.21,0.91,0.6,0.5,0.08,0.03,0.94,0.75,0.87,0.03,0.15,0.92,-0.394,-0.185,29.562,28.814,2.809,1.942,0.702,-0.766,-1.415,0.15,0.408,0.49,0.983,0.53
S3_163,0.87,0.7,0.23,0.83,0.76,0.55,0.78,0.77,0.62,0.71,0.68,0.09,0.45,0.97,0.7,-0.242,-0.128,32.696,26.021,2.972,2.307,0.13,-1.065,-1.408,0.946,0.924,0.433,0.553,0.008
S3_164,0.41,0.74,0.88,0.17,0.79,0.56,0.74,0.32,0.56,0.08,0.52,0.59,0.59,0.21,0.37,-0.388,-0.175,25.459,32.715,2.502,1.232,0.237,-0.784,-1.809,0.462,0.15,0.189,0.886,0.226
S3_165,0.43,0.8,0.07,0.95,0.54,0.93,0.51,0.58,0.61,0.16,0.63,0.5,0.3,0.78,0.39,-0.353,-0.126,34.155,27.994,2.454,2.154,0.983,-0.739,-2.404,0.997,0.77,0.457,0.483,0.941
S3_166,0.47,0.91,0.52,0.19,0.43,0.43,0.72,0.64,0.83,0.02,0.82,0.05,0.95,0.26,0.79,-0.357,-0.2,29.021,31.541,2.917,2.237,0.282,-0.775,-2.703,0.082,0.774,0.555,0.583,0.748
S3_167,0.53,0.69,0.82,0.08,0.57,0.5,0.5,0.69,0.57,0.19,0.2,0.84,0.44,0.69,0.76,-0.278,-0.219,33.745,27.859,2.974,1.48,0.285,-1.016,-2.038,0.537,0.929,0.726,0.419,0.588
S3_168,0.27,0.74,0.97,0.94,0.32,0.68,0.6,0.47,0.16,0.16,0.91,0.68,0.97,0.43,0.13,-0.283,-0.232,26.754,32.02,2.862,2.604,0.21,-0.763,-2.276,0.949,0.665,0.417,0.787,0.922
S3_169,0.55,0.34,0.4,0.74,0.2,0.42,0.11,0.52,0.43,0.12,0.6,0.47,0.99,0.85,0.85,-0.326,-0.186,31.195,33.541,2.629,1.538,0.359,-0.879,-2.938,0.102,0.349,0.992,0.986,0.337
S3_170,0.76,0.76,0.25,0.49,0.62,0.05,0.86,0.58,0.42,0.83,0.8,0.46,0.86,0.46,0.73,-0.301,-0.267,31.614,29.16,2.037,1.65,0.892,-0.65,-1.57,0.382,0.573,0.177,0.682,0.996
S3_171,0.42,0.3,0.97,0.6,0.44,0.04,0.65,0.2,0.21,0.76,0.14,0.01,0.03,0.17,0.88,-0.385,-0.145,32.637,31.474,2.429,1.237,0.646,-1.096,-2.97,0.262,0.16,0.513,0.372,0.108
S3_172,0.52,0.44,0.69,0.98,0.09,0.62,0.9,0.07,0.51,0.96,0.46,0.62,0.76,0.21,0.51,-0.321,-0.147,31.128,32.538,2.495,2.504,0.771,-0.622,-1.573,0.405,0.535,0.017,0.952,0.501
S3_173,0.19,0.05,0.1,0.13,0.53,0.35,0.51,0.3,0.29,0.64,0.28,0.68,0.05,0.72,0.62,-0.235,-0.208,28.905,33.089,2.054,2.22,0.333,-1.052,-3.092,0.19,0.051,0.097,0.842,0.214
S3_174,0.19,0.16,0.55,0.49,0.58,0.82,0.59,0.18,0.39,0.95,0.52,0.68,0.82,0.56,0.66,-0.302,-0.228,26.581,25.684,2.447,2.006,0.542,-0.743,-2.005,0.919,0.467,0.706,0.853,0.458
S3_175,0.29,0.18,0.46,0.12,0.94,0.59,0.43,0.09,0.68,0.41,0.72,0.48,0.19,0.33,0.4,-0.339,-0.262,25.748,27.585,2.292,1.048,0.439,-0.963,-3.175,0.219,0.75,0.821,0.083,0.207
S3_176,0.25,0.48,0.53,0.15,0.29,0.15,0.37,0.74,0.1,0.8,0.63,0.82,0.14,0.33,0.25,-0.248,-0.181,32.797,34.712,2.636,2.622,0.762,-0.74,-2.238,0.296,0.682,0.75,0.729,0.887
S3_177,0.43,0.53,0.3,0.1,0.13,0.59,0.21,0.62,0.36,0.03,0.18,0.43,0.66,0.53,0.48,-0.289,-0.225,30.498,29.93,2.699,1.092,0.099,-0.773,-2.53,0.011,0.62,0.114,0.28,0.516
S3_178,0.39,0.23,0.24,0.25,0.75,0.92,0.99,0.75,0.13,0.81,0.37,0.85,0.97,0.12,0.8,-0.383,-0.273,33.501,27.194,2.005,1.27,0.275,-0.89,-1.769,0.239,0.741,0.712,0.973,0.074
S3_179,0.38,0.11,0.69,0.34,0.31,0.73,0.3,0.47,0.51,0.21,0.35,0.65,0.89,0.4,0.6,-0.289,-0.218,28.439,25.538,2.592,2.209,0.255,-1.029,-1.676,0.397,0.6,0.773,0.549,0.005
S3_180,0.08,0.62,0.73,0.19,0.26,0.85,0.53,0.16,0.89,0.51,0.28,0.19,0.26,0.28,0.27,-0.38,-0.228,29.378,30.227,2.269,2.889,0.681,-1.007,-1.942,0.47,0.934,0.236,0.829,0.135
S3_181,0.44,0.6,0.43,0.42,0.84,0.96,0.54,0.17,0.61,0.15,0.58,0.64,0.74,0.49,0.53,-0.367,-0.199,30.0,31.747,2.56,1.55,0.472,-0.675,-3.021,0.025,0.216,0.319,0.74,0.06
S3_182,0.29,0.23,0.23,0.17,0.16,0.69,0.29,0.97,0.47,0.28,0.85,0.14,0.86,0.9,0.9,-0.398,-0.203,27.549,33.756,2.979,1.033,0.698,-1.089,-2.904,0.505,0.746,0.294,0.789,0.154
S3_183,0.32,0.9,0.65,0.77,0.22,0.82,0.2,0.57,0.38,0.38,0.4,0.47,0.16,0.39,0.12,-0.39,-0.15,34.916,31.892,2.965,1.665,0.624,-0.642,-2.989,0.42,0.301,0.476,0.106,0.679
S3_184,0.7,0.07,0.21,0.89,0.83,0.45,0.82,0.71,0.24,0.64,0.56,0.54,0.92,0.24,0.85,-0.334,-0.182,31.558,28.493,2.023,2.115,0.854,-1.091,-2.394,0.881,0.707,0.928,0.674,0.504
S3_185,0.35,0.51,0.27,0.33,0.11,0.45,0.37,0.3,0.7,0.19,0.47,0.24,0.43,0.75,0.41,-0.253,-0.25,28.674,27.882,2.518,2.888,0.656,-0.713,-2.157,0.406,0.914,0.323,0.821,0.265
S3_186,0.43,0.96,0.17,0.32,0.89,0.75,0.89,0.35,0.65,0.98,0.72,0.6,0.25,0.58,0.38,-0.288,-0.189,30.055,25.718,2.913,2.072,0.168,-0.633,-1.633,0.921,0.447,0.51,0.969,0.623
S3_187,0.28,0.69,0.31,0.75,0.49,0.49,0.87,0.59,0.14,0.82,0.94,0.28,0.64,0.38,0.52,-0.363,-0.138,31.567,31.629,2.91,1.622,0.907,-0.886,-1.997,0.194,0.71,0.75,0.719,0.143
S3_188,0.75,0.3,0.05,0.66,0.87,0.52,0.89,0.96,0.23,0.7,0.57,0.15,0.41,0.9,0.35,-0.268,-0.17,25.593,25.213,2.572,1.329,0.835,-1.025,-1.536,0.208,0.558,0.107,0.947,0.586
S3_189,0.43,0.45,0.56,0.79,0.42,0.19,0.67,0.4,0.75,0.85,0.41,0.24,0.61,0.7,0.22,-0.346,-0.178,29.671,27.047,2.999,2.101,0.052,-0.863,-2.563,0.979,0.001,0.036,0.297,0.694
S3_190,0.82,0.79,0.21,0.01,0.85,0.62,0.84,0.32,0.99,0.51,0.72,0.78,0.35,0.89,0.94,-0.312,-0.197,32.716,31.871,2.348,1.067,0.422,-0.915,-3.039,0.697,0.963,0.578,0.897,0.101
S3_191,0.12,0.07,0.13,0.56,0.92,0.69,0.39,0.51,0.35,0.88,0.24,0.3,0.67,0.4,0.74,-0.365,-0.177,26.613,32.428,2.23,1.782,0.751,-0.986,-2.168,0.61,0.071,0.178,0.673,0.87
S3_192,0.94,0.47,0.68,0.86,0.11,0.5,0.2,0.55,0.28,0.63,0.05,0.76,0.41,0.82,0.8,-0.269,-0.114,27.313,26.257,2.761,1.686,0.287,-0.934,-2.854,0.66,0.673,0.101,0.527,0.535
S3_193,0.74,0.38,0.56,0.91,0.32,0.26,0.17,0.41,0.37,0.78,0.8,0.21,0.75,0.88,0.66,-0.372,-0.163,26.512,28.778,2.94,2.541,0.455,-0.657,-2.083,0.778,0.61,0.038,0.356,0.305
S3_194,0.06,0.64,0.91,0.7,0.88,0.57,0.16,0.69,0.62,0.68,0.46,0.1,0.29,0.06,0.7,-0.378,-0.243,34.17,32.039,2.986,2.721,0.003,-1.01,-2.32,0.719,0.423,0.88,0.185,0.673
S3_195,0.67,0.38,0.37,0.17,0.56,0.32,0.83,0.74,0.79,0.78,0.59,0.38,0.11,0.42,0.9,-0.286,-0.273,28.295,32.337,2.553,1.515,0.415,-1.041,-1.919,0.852,0.06,0.931,0.091,0.597
S3_196,0.6,0.09,0.82,0.98,0.54,0.75,0.76,0.71,0.78,0.56,0.32,0.76,0.24,0.21,0.79,-0.252,-0.155,25.822,27.484,2.473,2.699,0.111,-0.844,-1.977,0.984,0.669,0.213,0.801,0.444
S3_197,0.75,0.29,0.05,0.6,0.45,0.82,0.73,0.92,0.84,0.62,0.57,0.07,0.96,0.62,0.81,-0.285,-0.168,32.478,25.504,2.375,1.644,0.78,-0.834,-2.058,0.321,0.501,0.607,0.408,0.595
S3_198,0.58,0.98,0.98,0.32,0.83,0.14,0.29,0.05,0.03,0.96,0.34,0.99,0.48,0.8,0.32,-0.271,-0.21,33.579,28.341,2.607,2.34,0.005,-0.657,-1.517,0.5,0.354,0.056,0.716,0.394
S3_199,0.58,0.19,0.27,0.85,0.95,0.64,0.75,0.03,0.54,0.5,0.19,0.8,0.93,0.45,0.85,-0.254,-0.18,33.845,34.461,2.556,2.681,0.472,-0.775,-1.471,0.687,0.042,0.422,0.691,0.631
S3_200,0.79,0.62,0.54,0.82,0.83,0.28,0.88,0.01,0.56,0.3,0.8,0.15,0.27,0.95,0.8,-0.285,-0.188,32.158,30.089,2.237,2.58,0.217,-0.908,-2.374,0.969,0.388,0.907,0.244,0.098
S3_201,0.84,0.84,0.96,0.64,0.3,0.34,0.57,0.82,0.31,0.45,0.48,0.11,0.14,0.61,0.59,-0.356,-0.248,33.64,27.169,2.616,2.165,0.506,-0.842,-2.437,0.643,0.753,0.624,0.093,0.719
S3_202,0.41,0.05,0.38,0.8,0.62,0.65,0.3,0.58,0.62,0.72,0.61,0.2,0.95,0.02,0.78,-0.297,-0.135,30.648,33.609,2.926,2.081,0.732,-0.944,-3.353,0.241,0.869,0.331,0.742,0.147
S3_203,0.18,0.8,0.01,0.96,0.87,0.93,0.12,0.82,0.81,0.97,0.01,0.91,0.68,0.15,0.37,-0.298,-0.264,31.903,28.475,2.747,2.491,0.037,-0.846,-2.611,0.352,0.53,0.024,0.029,0.025
S3_204,0.51,0.65,0.86,0.57,0.85,0.19,0.55,0.09,0.89,0.1,0.68,0.57,0.07,0.09,0.74,-0.399,-0.244,32.011,33.65,2.428,1.662,0.774,-0.948,-2.35,0.634,0.36,0.662,0.383,0.482
S3_205,0.79,0.75,0.95,0.4,0.78,0.8,0.36,0.2,0.63,0.92,0.07,0.8,0.2,0.88,0.21,-0.314,-0.146,29.275,34.151,2.095,1.097,0.837,-1.088,-3.171,0.736,0.98,0.436,0.121,0.533
S3_206,0.64,0.96,0.54,0.46,0.94,0.16,0.23,0.79,0.87,0.14,0.88,1.0,0.87,0.34,0.65,-0.375,-0.251,32.089,29.988,2.326,1.053,0.988,-0.646,-1.896,0.789,0.157,0.574,0.758,0.324
S3_207,0.57,0.38,0.14,0.71,0.08,0.29,0.94,0.29,0.75,0.86,0.55,0.32,0.57,0.77,0.64,-0.256,-0.134,33.436,28.584,2.68,1.509,0.863,-0.869,-2.321,0.774,0.859,0.832,0.964,0.677
S3_208,0.46,0.67,0.95,0.57,0.93,0.01,0.06,0.71,0.92,0.79,0.84,0.97,0.69,0.96,0.76,-0.375,-0.22,34.724,25.819,2.802,2.549,0.621,-0.654,-3.278,0.651,0.472,0.745,0.662,0.205
S3_209,0.19,0.26,0.34,0.38,0.94,0.32,0.28,0.24,0.68,0.33,0.47,0.89,0.91,0.76,0.54,-0.385,-0.169,31.751,32.777,2.316,2.384,0.889,-0.806,-2.746,0.064,0.359,0.5,0.709,0.269
S3_210,0.66,0.69,0.15,0.53,0.45,0.57,0.68,0.5,0.82,0.76,0.92,0.44,0.36,0.67,0.14,-0.321,-0.153,33.892,30.757,2.232,1.452,0.631,-1.093,-1.605,0.775,0.739,0.654,0.621,0.228
S3_211,0.26,0.95,0.55,0.63,0.74,0.93,0.44,0.96,0.58,0.01,0.09,0.33,0.98,0.65,0.76,-0.293,-0.151,33.334,26.626,2.539,2.625,0.457,-0.941,-1.462,0.046,0.353,0.637,0.584,0.53
S3_212,0.82,0.11,0.08,0.84,0.63,0.69,0.93,0.22,0.01,0.97,0.34,0.73,0.42,0.97,0.71,-0.245,-0.166,33.13,33.004,2.847,2.11,0.279,-0.865,-2.161,0.313,0.409,0.539,0.529,0.014
S3_213,0.66,0.97,0.72,0.27,0.99,0.03,0.57,0.62,0.65,0.98,0.61,0.63,0.66,0.34,0.31,-0.312,-0.209,31.396,33.487,2.616,2.297,0.4,-1.094,-1.723,0.031,0.332,0.067,0.218,0.978
S3_214,0.21,0.61,0.58,0.53,0.06,0.35,0.35,0.49,0.91,0.22,0.35,0.06,0.11,0.16,0.21,-0.299,-0.257,28.573,33.884,2.358,2.568,0.592,-1.032,-3.313,0.879,0.537,0.765,0.811,0.725
S3_215,0.49,0.91,0.77,0.26,0.96,0.03,0.92,0.94,0.05,0.93,0.3,0.07,0.29,0.89,0.05,-0.276,-0.244,29.214,26.7,2.486,2.283,0.69,-0.782,-2.998,0.861,0.616,0.026,0.869,0.015
S3_216,0.27,0.32,0.84,0.26,0.15,0.76,0.1,0.89,0.1,0.31,0.89,0.32,0.71,0.48,0.11,-0.322,-0.161,26.044,26.813,2.128,1.494,0.483,-1.087,-2.947,0.524,0.643,0.431,0.035,0.549
S3_217,0.18,0.13,0.34,0.43,0.16,0.27,0.54,0.02,0.74,0.81,0.25,0.98,0.53,0.56,0.95,-0.35,-0.174,25.164,27.371,2.024,2.257,0.142,-0.79,-2.431,0.473,0.721,0.238,0.631,0.406
S3_218,0.52,0.91,0.02,0.23,0.92,0.98,0.76,0.93,0.42,0.92,0.82,0.29,0.14,0.35,0.63,-0.267,-0.213,32.974,26.358,2.653,2.476,0.464,-0.636,-1.892,0.072,0.725,0.441,0.187,0.2
